Time [s],Packet ID,MOSI,MISO
-0.0000100500,0,0xFF,0xFF
0.0000037500,0,0xFF,0xFF
0.0000153500,0,0x51,0xFF
0.0000260000,0,0x00,0xFF
0.0000367000,0,0x00,0xFF
0.0000473500,0,0x00,0xFF
0.0000580500,0,0x00,0xFF
0.0000687000,0,0x55,0xFF
0.0000797000,0,0xFF,0xFF
0.0000906000,0,0xFF,0x00
0.0001018500,0,0xFF,0xFF
0.0001129000,0,0xFF,0xFF
0.0001239000,0,0xFF,0xFF
0.0001349000,0,0xFF,0xFF
0.0001459000,0,0xFF,0xFF
0.0001569000,0,0xFF,0xFF
0.0001679000,0,0xFF,0xFF
0.0001789000,0,0xFF,0xFF
0.0001899000,0,0xFF,0xFF
0.0002009000,0,0xFF,0xFF
0.0002119000,0,0xFF,0xFF
0.0002229000,0,0xFF,0xFE
0.0002341500,0,0xFF,0xFA
0.0002451500,0,0xFF,0x33
0.0002562000,0,0xFF,0xC0
0.0002672000,0,0xFF,0x8E
0.0002782500,0,0xFF,0xD0
0.0002892500,0,0xFF,0xBC
0.0003003000,0,0xFF,0x00
0.0003113000,0,0xFF,0x7C
0.0003223500,0,0xFF,0x8B
0.0003333500,0,0xFF,0xF4
0.0003444000,0,0xFF,0x50
0.0003554000,0,0xFF,0x07
0.0003664500,0,0xFF,0x50
0.0003774500,0,0xFF,0x1F
0.0003885000,0,0xFF,0xFB
0.0003995000,0,0xFF,0xFC
0.0004105500,0,0xFF,0xBF
0.0004215500,0,0xFF,0x00
0.0004326000,0,0xFF,0x06
0.0004436000,0,0xFF,0xB9
0.0004546500,0,0xFF,0x00
0.0004656500,0,0xFF,0x01
0.0004767000,0,0xFF,0xF2
0.0004877000,0,0xFF,0xA5
0.0004987500,0,0xFF,0xEA
0.0005097500,0,0xFF,0x1D
0.0005208000,0,0xFF,0x06
0.0005318000,0,0xFF,0x00
0.0005428500,0,0xFF,0x00
0.0005538500,0,0xFF,0xBE
0.0005649000,0,0xFF,0xBE
0.0005759000,0,0xFF,0x07
0.0005869500,0,0xFF,0xB3
0.0005979500,0,0xFF,0x04
0.0006090000,0,0xFF,0x80
0.0006200000,0,0xFF,0x3C
0.0006310500,0,0xFF,0x80
0.0006421000,0,0xFF,0x74
0.0006531000,0,0xFF,0x0E
0.0006641500,0,0xFF,0x80
0.0006751500,0,0xFF,0x3C
0.0006862000,0,0xFF,0x00
0.0006972000,0,0xFF,0x75
0.0007082500,0,0xFF,0x1C
0.0007192500,0,0xFF,0x83
0.0007303000,0,0xFF,0xC6
0.0007413500,0,0xFF,0x10
0.0007523500,0,0xFF,0xFE
0.0007634000,0,0xFF,0xCB
0.0007744000,0,0xFF,0x75
0.0007854500,0,0xFF,0xEF
0.0007964500,0,0xFF,0xCD
0.0008075000,0,0xFF,0x18
0.0008185000,0,0xFF,0x8B
0.0008295500,0,0xFF,0x14
0.0008405500,0,0xFF,0x8B
0.0008516000,0,0xFF,0x4C
0.0008626000,0,0xFF,0x02
0.0008736000,0,0xFF,0x8B
0.0008846500,0,0xFF,0xEE
0.0008956500,0,0xFF,0x83
